chunk_id,source_id,record_type,word_count,page_start,page_end,section,rule,clause,heading,warning,audit_flags,severity,groups,text_excerpt
MSCS_AMD_2023_ITEM_17,MSCS_AMD_2023,child,1894,7,10,,,,,LONG_CHUNK_NO_SAFE_SPLIT,,INFO,A_LONG;C_TOP20_LONG,"17. For section 45 of the principal Act, the following sections shall be substituted,

Substitution of new section

namely:––

for section 45.

‘45. (1) The Central Government shall, by notification, "
MSCS_RULES_2002_CONTEXT_022,MSCS_RULES_2002,child,924,19,21,,,,,LONG_CHUNK_NO_SAFE_SPLIT;RULE_IDENTIFIER_MISSING;STRUCTURE_UNCERTAIN,MISSING_STRUCTURAL_ID,REVIEW,A_LONG;E_STRUCTURE,"Chapter 6 Appeals and Review

Appeals 31.

For the purpose of sub-section (2) of section 99, an appeal against any decision or order shall be made, if the decision or order was made by–

(a) the Centr"
MSCS_RULES_2002_RULE_36,MSCS_RULES_2002,child,6103,23,37,,36,,Mode of service of summon,LONG_CHUNK_NO_SAFE_SPLIT;STRUCTURE_UNCERTAIN,,INFO,A_LONG;E_STRUCTURE;C_TOP20_LONG,"Chapter 9 Miscellaneous

36. Mode of service of summon

(1) Every summon issued under the Act or these rules shall be in writing, shall be authenticated by the sea, if any, of the officer by whom it i"
MSCS_RULES_2002_SCHEDULE_027,MSCS_RULES_2002,child,4087,37,46,,,,SCHEDULE,LONG_CHUNK_NO_SAFE_SPLIT;MULTIPLE_FORMS_REVIEW,,INFO,A_LONG;C_TOP20_LONG,"SCHEDULE

1. Procedure for the conduct of election to the board of Multi-State Co-operative Societies

(a) The board of Directors in office shall meet, at least, sixty clear days in advance of the dat"
MSCS_RULES_AMD_2023_ITEM_4,MSCS_RULES_AMD_2023,child,7390,2,12,,,,,LONG_CHUNK_NO_SAFE_SPLIT,,INFO,A_LONG;C_TOP20_LONG,"4. मूल जनयम में, जनयम 19 के स्ट् थान पर, जनम् नजलजखत जनयम रखा िाएगा,अथाातम: -

“19. चयन सजमजत की संरचना - (1) प्राजधकरण के सभापजत, उपसभापजत और उसके प्रत् येक सिस्ट् य की जनयुजि एक चयन सजमजत की जसफाररि"
MSCS_RULES_AMD_2023_ITEM_7,MSCS_RULES_AMD_2023,child,1497,14,16,,,,,LONG_CHUNK_NO_SAFE_SPLIT,,INFO,A_LONG;C_TOP20_LONG,"7. मूल जनयमों में, अध् याय 5 के पश् चातम जनम् नजलजखत अध् याय अंत:स्ट् थाजपत दकया िाएगा, अथाातम: -

“अध् याय 5क

सहकारी ऑम् बुड्समसमैन

30क. ऑम् बुड्समसमैन की जनयुजि और उसका िेत्राजधकार- (1) केन्द् रीय"
MSCS_RULES_AMD_2023_ITEM_10,MSCS_RULES_AMD_2023,child,1122,17,19,,,,,LONG_CHUNK_NO_SAFE_SPLIT,,INFO,A_LONG,"10. मूल जनयमों में जनयम 37 के पश् चातम, जनम् नजलजखत जनयमों को अंत्स्ट्थाजपत दकया िाएगा,अथाातम: -

“37क. सहकारी सोसाइरटयों में कार्माकों की भती - जवजभन्द् न स्ट् तरों पर कार्माकों की भती एक पारििी, उेे"
MSCS_RULES_AMD_2023_ITEM_14,MSCS_RULES_AMD_2023,child,2110,20,27,,,,,LONG_CHUNK_NO_SAFE_SPLIT,,INFO,A_LONG;C_TOP20_LONG,"14. मूल जनयमों में प्रूपप -V के स्ट् थान पर, जनम् नजलजखत प्रूपप रखा िाएगा, अथाातम: -

“प्रूपप V

[जनयम19 िेखें]

पिाजधकाररयों के जनवााचन हेतु नामांकन पत्र

1. बहुराज्य सहकारी सोसाइटी का नाम और पता:

2"
MSCS_RULES_AMD_2023_ITEM_4_002_SUB_19M,MSCS_RULES_AMD_2023,child,1319,32,34,,19M,,,LONG_CHUNK_NO_SAFE_SPLIT,,INFO,A_LONG,"19M. Voting.— (1) If for any area or constituency for which election is to be held, the number of candidates whose nomination Forms have been declared valid, does not exceed the number of candidates t"
KA_ACT_1959_SEC_2,KA_ACT_1959,child,2223,33,40,2,,,Definitions,LONG_CHUNK_NO_SAFE_SPLIT;STRUCTURE_UNCERTAIN,,INFO,A_LONG;E_STRUCTURE;C_TOP20_LONG,"2. Definitions.- In this Act, unless the context otherwise requires,—

1 [(a) ‗Apex Society‘ means a federal society whose area of operation extends to the whole

of the State;

5 [(a-1) ‗Area of oper"
KA_ACT_1959_SEC_2A,KA_ACT_1959,child,907,40,42,2A,,,"Registrar, Additional Registrars, Joint Registrars, Deputy Registrars [,State",LONG_CHUNK_NO_SAFE_SPLIT;STRUCTURE_UNCERTAIN,,INFO,A_LONG;E_STRUCTURE,"2A. Registrar, Additional Registrars, Joint Registrars, Deputy Registrars [,State

2

Representatives]

and Assistant Registrars.-

(1) The State Government may appoint a

person to be the Registrar o"
KA_ACT_1959_SEC_28A,KA_ACT_1959,child,2235,64,70,28A,,,Management of co-operative societies vest in the *board*,LONG_CHUNK_NO_SAFE_SPLIT;STRUCTURE_UNCERTAIN,,INFO,A_LONG;E_STRUCTURE;C_TOP20_LONG,"[28A. Management of co-operative societies vest in the *board*.-

(1) The

management of a co-operative society shall vest in a *board* constituted in accordance with

this Act, the rules and the bye-"
KA_ACT_1959_SEC_29G_SUB_6,KA_ACT_1959,child,994,79,81,29G,,,Appointment of Chief Executive,LONG_CHUNK_NO_SAFE_SPLIT,,INFO,A_LONG,"(6) In respect of primary co-operative societies, the Chief Executive shall send a [copy of

1

the receipt and payment account] duly certified by him every month to the Registrar and the

financing b"
KA_ACT_1959_SEC_39_SUB_2,KA_ACT_1959,child,1078,88,91,39,,,Registration of documents executed on behalf of co-operative societies,LONG_CHUNK_NO_SAFE_SPLIT,,INFO,A_LONG,"(2) Where any instrument is so executed, the registering officer to whom such instrument

is presented for registration may, if he thinks fit, refer to such member, secretary or officer for

informati"
KA_ACT_1959_CONTEXT_120,KA_ACT_1959,child,2483,104,109,,,,,LONG_CHUNK_NO_SAFE_SPLIT;SECTION_IDENTIFIER_MISSING;STRUCTURE_UNCERTAIN,MISSING_STRUCTURAL_ID,REVIEW,A_LONG;E_STRUCTURE;C_TOP20_LONG,"CHAPTER VIII

AUDIT, INQUIRY, INSPECTION AND SURCHARGE.

1 [63 Audit.- (1) Every Cooperative society shall get its accounts audited at least

once in a year before the first of September following the"
KA_ACT_1959_SEC_129_SUB_2,KA_ACT_1959,child,1185,172,175,129,,,Powers to make rules,LONG_CHUNK_NO_SAFE_SPLIT,,INFO,A_LONG,"(2) In particular, and without prejudice to the generality of the foregoing power, such rules

may provide for all or any of the following matters, namely:—

(a) the applicant to whom the order refusi"
