question_id,question,test_jurisdiction,should_answer,rank,chunk_id,source_id,title,result_jurisdiction,similarity_score,expected_source_match,forbidden_source_match,jurisdiction_violation,section,subsection,rule,clause,heading,topics,page_start,page_end,text_preview,rerank_score,topic_overlap,heading_relevance,source_diversity
H001,My cooperative is registered only in Karnataka. Which law should I look at to understand who can become a member?,Karnataka,True,1,KA_ACT_1959_SEC_17,KA_ACT_1959,Karnataka Co-operative Societies Act 1959,Karnataka,0.89419913,True,False,False,17,,,,Disqualification for membership,eligibility;membership;registrar;state_law,51,52,"17. Disqualification for membership.-

(1) No person shall be eligible for admission as a

member of a co-operative society, if he,—

(a) has applied to be adjudicated an insolvent or is an undischarged insolvent; or

(b) has been sentenced for any o",0.9386355,1.0,1.0,1.0
H001,My cooperative is registered only in Karnataka. Which law should I look at to understand who can become a member?,Karnataka,True,2,MSCS_RULES_2002_RULE_11,MSCS_RULES_2002,Multi-State Cooperative Societies Rules 2002,Central,0.85921037,False,False,False,,,11,,Conditions to be complied with for membership,byelaws;eligibility;meetings;membership;multistate;registrar;timeline,8,9,"11. Conditions to be complied with for membership

(1) No persons shall be admitted as a member of a multi-state cooperative society unless

(a) he has applied in writing in the form, if any, laid do0wn by the multi-state cooperative society or in th",0.91834202,1.0,1.0,1.0
H001,My cooperative is registered only in Karnataka. Which law should I look at to understand who can become a member?,Karnataka,True,3,PACS_MODEL_BYLAWS_CLAUSE_7_SUB_5,PACS_MODEL_BYLAWS,Model Bye-Laws for PACS,Central,0.85574424,False,False,False,,,,7,MEMBERSHIP:,appeal;byelaws;deposits;documents;eligibility;governance;meetings;membership;pacs;registrar;registration,12,12,"(5) PROCEDURE FOR MEMBERSHIP:

a) Any person who is desirous of becoming a member of the Society and is eligible

as per the Byelaws, may obtain an application form at a prescribed fee and may

submit the duly filled application form to the Chief Exe",0.91633166,1.0,1.0,1.0
H001,My cooperative is registered only in Karnataka. Which law should I look at to understand who can become a member?,Karnataka,True,4,KA_ACT_1959_SEC_29C_SUB_9,KA_ACT_1959,Karnataka Co-operative Societies Act 1959,Karnataka,0.88608277,True,False,False,29C,9,,,Disqualification for membership of the *board*,eligibility;membership;state_law,75,75,"(9) A copy of the order made under sub-section (8) shall be communicated to the member

1

and the co-operative society concerned.]

2 [(10) No director of a cooperative society shall be eligible for being elected or appointed or

continued as a dele",0.88392801,1.0,1.0,0.0
H001,My cooperative is registered only in Karnataka. Which law should I look at to understand who can become a member?,Karnataka,True,5,KA_ACT_1959_SEC_29C_SUB_5,KA_ACT_1959,Karnataka Co-operative Societies Act 1959,Karnataka,0.8850354,True,False,False,29C,5,,,Disqualification for membership of the *board*,eligibility;membership;state_law,74,74,"(5) In the case of co-operative marketing societies, consumers co-operative societies and

such class or classes of co-operative societies as may be specified by the State

Government, by notification in the official Gazette, no member shall be eligi",0.88332053,1.0,1.0,0.0
H002,"If I want to understand how a cooperative society is registered in Karnataka, which official source should explain the process?",Karnataka,True,1,KA_ACT_1959_SEC_31A,KA_ACT_1959,Karnataka Co-operative Societies Act 1959,Karnataka,0.89028561,True,False,False,31A,,,,Delivery of possession of records and properties of the co-operative,documents;registrar;state_law,83,83,"31A. Delivery of possession of records and properties of the co-operative

societies.-

(1) Where a new *board* is elected or an Administrator or Special Officer is

appointed by the Registrar or where the co-operative society is ordered to be wound ",0.56636565,0.0,0.0,1.0
H002,"If I want to understand how a cooperative society is registered in Karnataka, which official source should explain the process?",Karnataka,True,2,MSCS_RULES_2002_FORM_I,MSCS_RULES_2002,Multi-State Cooperative Societies Rules 2002,Central,0.85545188,False,False,False,,,,,FORM – I,byelaws;documents;multistate;registrar;registration,46,49,"FORM – I

Headquarters and address to be registered;

The Central Registrar of Cooperative Societies,

Area of operations; Main objectives; Act,2002;

:

indicated below :

(g) (h)

(d)

(b)

(e) (f)

(c)

(a)

(i)

New Delhi. Sir,

To,

2. A certifi",0.54616209,0.0,0.0,1.0
H002,"If I want to understand how a cooperative society is registered in Karnataka, which official source should explain the process?",Karnataka,True,3,MSCS_ACT_2002_SEC_4,MSCS_ACT_2002,Multi-State Cooperative Societies Act 2002,Central,0.84837973,False,False,False,4,,,,Central Registrar,multistate;registrar;registration,8,9,"Chapter II

Central Registrar and Registration of Multi-State Cooperative Societies 4. Central Registrar

(1) The Central Government may appoint a person to be the Central

Registrar of Cooperative Societies and may appoint such other persons as it m",0.54206024,0.0,0.0,1.0
H002,"If I want to understand how a cooperative society is registered in Karnataka, which official source should explain the process?",Karnataka,True,4,MSCS_RULES_AMD_2023_FORM_VIII,MSCS_RULES_AMD_2023,Multi-State Cooperative Societies Amendment Rules 2023,Central,0.8478049,False,False,False,,,,,FORM VIII,appeal;byelaws;complaint;documents;management;membership;multistate;ombudsman;registrar,47,49,"FORM VIII [See rule 30J (1)] FORM OF APPEAL BEFORE THE CENTRAL REGISTRAR

[All fields are mandatory except wherever indicated otherwise] To The Central Registrar Madam/Sir, Sub: Appeal against decision of the Co-operative Ombudsman dated ……………………by……",0.54172684,0.0,0.0,1.0
H002,"If I want to understand how a cooperative society is registered in Karnataka, which official source should explain the process?",Karnataka,True,5,MSCS_AMD_2023_ITEM_30,MSCS_AMD_2023,Multi-State Cooperative Societies Amendment Act 2023,Central,0.84300041,False,False,False,,,,,"In section 78 of the principal Act, after sub-section (1), the following sub-sections Amendment",appeal;complaint;deposits;documents;multistate;ombudsman;registrar,14,15,"30. In section 78 of the principal Act, after sub-section (1), the following sub-sections Amendment shall be inserted, namely:––

of section 78.

“(1A) If the Central Registrar is satisfied on the basis of information available with him or furnished ",0.53894024,0.0,0.0,1.0
H003,Our society is in Maharashtra and I want to know the legal rules about becoming a member. Which source should the assistant use?,Maharashtra,True,1,MH_RULES_1961_RULE_19,MH_RULES_1961,Maharashtra Cooperative Societies Rules 1961,Maharashtra,0.87478942,False,False,False,,,19,,"Conditions to be complied with for admission for membership, etc:- No",membership;registrar;registration,17,18,"Chapter III

Members and their rights and liabilities

19. Conditions to be complied with for admission for membership, etc:- No person shall be admitted as a member of a society unless,—

(i) he has applied in writing in the form laid down by the so",0.92737786,1.0,1.0,1.0
H003,Our society is in Maharashtra and I want to know the legal rules about becoming a member. Which source should the assistant use?,Maharashtra,True,2,PACS_MODEL_BYLAWS_CLAUSE_7_SUB_3,PACS_MODEL_BYLAWS,Model Bye-Laws for PACS,Central,0.85786945,False,False,False,,,,7,MEMBERSHIP:,byelaws;elections;eligibility;meetings;membership;pacs,10,11,"(3) ELIGIBILITY AND OTHER CONDITIONS FOR ‘B’-CLASS MEMBERSHIP:

a) A person who desires to have a business relationship with Society shall be

admitted as nominal member by payment of admission fee of Rs.10/- which is non-

refundable and shall be cr",0.91756428,1.0,1.0,1.0
H003,Our society is in Maharashtra and I want to know the legal rules about becoming a member. Which source should the assistant use?,Maharashtra,True,3,MH_RULES_1961_RULE_119A,MH_RULES_1961,Maharashtra Cooperative Societies Rules 1961,Maharashtra,0.87300634,False,False,False,,,119A,,Procedure for tendering application to the Registrar for membership,eligibility;membership;registrar;timeline,18,18,"119A. Procedure for tendering application to the Registrar for membership under section 23(1 A):-

(1) Where a society has refused to accept the application for membership from eligible person, such person shall tender an application to the Registrar",0.87634368,1.0,1.0,0.0
