chunk_id,source_id,record_type,word_count,page_start,page_end,section,rule,clause,heading,warning,audit_flags,severity,groups,text_excerpt
MSCS_AMD_2023_CONTEXT_003,MSCS_AMD_2023,child,151,2,2,,,,,STRUCTURE_UNCERTAIN,,INFO,E_STRUCTURE,"PART II — Section 1

izkf/kdkj ls izdkf'kr PUBLISHED BY AUTHORITY

lañ 14] ubZ fnYyh] c`gLifrokj] vxLr 3] 2023@Jko.k 12] 1945 ¼'kd½ NEW DELHI, THURSDAY, AUGUST 3, 2023/SRAVANA 12, 1945 (SAKA) No. 14]
"
MSCS_RULES_2002_RULE_3,MSCS_RULES_2002,child,471,4,5,,3,,Application for registration,STRUCTURE_UNCERTAIN,,INFO,E_STRUCTURE,"Chapter 2 Registration

3. Application for registration

(1) An application for registration of a multi-state cooperative society under sub-section (1) of section 6 shall be made in Form I and shall, "
MSCS_RULES_2002_RULE_7,MSCS_RULES_2002,child,182,6,7,,7,,Refusal of amendment of bye-laws,STRUCTURE_UNCERTAIN,,INFO,E_STRUCTURE,"7. Refusal of amendment of bye-laws

(1) Where the Central Registrar refuses to register an amendment of bye-laws of a multi state cooperative society under sub-section (9) of section 11, he shall com"
MSCS_RULES_2002_RULE_9,MSCS_RULES_2002,child,203,7,8,,9,,Maintenance of Registration file by the society,STRUCTURE_UNCERTAIN,,INFO,E_STRUCTURE,"9. Maintenance of Registration file by the society

(1) Every multi-state cooperative society shall maintain at its registered address a registration file containing,

(a) the certificate of registrat"
MSCS_RULES_2002_RULE_14,MSCS_RULES_2002,child,523,9,11,,14,,Interim board and general meeting for the first election,STRUCTURE_UNCERTAIN,,INFO,E_STRUCTURE,"14. Interim board and general meeting for the first election

The first general meeting of the society shall be held within six months of the registration of the society by the promoter members for th"
MSCS_RULES_2002_RULE_19,MSCS_RULES_2002,child,132,11,12,,19,,Procedure for conduct of elections,STRUCTURE_UNCERTAIN,,INFO,E_STRUCTURE,"19. Procedure for conduct of elections

(1) The election of members of the board shall be conducted by a returning officer appointed by the board in its meeting. The returning officer so appointed sha"
MSCS_RULES_2002_RULE_26,MSCS_RULES_2002,child,677,14,16,,26,,Contributory Provident Fund,STRUCTURE_UNCERTAIN,,INFO,E_STRUCTURE,"26. Contributory Provident Fund

(1) Every multi-state cooperative society which has in its service ten or more regular employees shall establish a Contributory Provident Fund referred to in sub-secti"
MSCS_RULES_2002_CONTEXT_022,MSCS_RULES_2002,child,924,19,21,,,,,LONG_CHUNK_NO_SAFE_SPLIT;RULE_IDENTIFIER_MISSING;STRUCTURE_UNCERTAIN,MISSING_STRUCTURAL_ID,REVIEW,A_LONG;E_STRUCTURE,"Chapter 6 Appeals and Review

Appeals 31.

For the purpose of sub-section (2) of section 99, an appeal against any decision or order shall be made, if the decision or order was made by–

(a) the Centr"
MSCS_RULES_2002_RULE_36,MSCS_RULES_2002,child,6103,23,37,,36,,Mode of service of summon,LONG_CHUNK_NO_SAFE_SPLIT;STRUCTURE_UNCERTAIN,,INFO,A_LONG;E_STRUCTURE;C_TOP20_LONG,"Chapter 9 Miscellaneous

36. Mode of service of summon

(1) Every summon issued under the Act or these rules shall be in writing, shall be authenticated by the sea, if any, of the officer by whom it i"
MSCS_RULES_AMD_2023_CONTEXT_001,MSCS_RULES_AMD_2023,child,342,1,2,,,,,STRUCTURE_UNCERTAIN,,INFO,E_STRUCTURE,"रजिस्ट्री सं. डी.एल.- 33004/99 REGD. No. D. L.-33004/99

सी.जी.-डी.एल.-अ.-04082023-247863

xxxGIDHxxx

CG-DL-E-04082023-247863

xxxGIDExxx

असाधारण EXTRAORDINARY

भाग II—खण् ड 3—उप-खण् ड (i) PART II—S"
