question_id,top1_match,top3_match,top5_match,forbidden_source_found,jurisdiction_violation,max_similarity,abstention_candidate,should_answer,result_count,result_returned_when_should_not_answer,allowed_jurisdictions,expected_source_policy,support_assessment,unrelated_or_general_material,abstention_reason
H001,True,True,True,False,False,0.89926022,False,True,5,False,Central;India;Karnataka,ANY,NOT_AUTOMATICALLY_VERIFIED,MANUAL_REVIEW_REQUIRED,ABOVE_UNCALIBRATED_THRESHOLD
H002,True,True,True,False,False,0.89028561,False,True,5,False,Central;India;Karnataka,ANY,NOT_AUTOMATICALLY_VERIFIED,MANUAL_REVIEW_REQUIRED,ABOVE_UNCALIBRATED_THRESHOLD
H003,False,False,False,False,False,0.8825683,False,True,5,False,Central;India;Maharashtra,ANY,NOT_AUTOMATICALLY_VERIFIED,MANUAL_REVIEW_REQUIRED,ABOVE_UNCALIBRATED_THRESHOLD
H004,True,True,True,False,False,0.89601308,False,True,5,False,Central;India;Maharashtra,ANY,NOT_AUTOMATICALLY_VERIFIED,MANUAL_REVIEW_REQUIRED,ABOVE_UNCALIBRATED_THRESHOLD
H005,True,True,True,False,False,0.88645768,False,True,5,False,Central;India,ANY,NOT_AUTOMATICALLY_VERIFIED,MANUAL_REVIEW_REQUIRED,ABOVE_UNCALIBRATED_THRESHOLD
H006,True,True,True,False,False,0.88243026,False,True,5,False,Central;India,ANY,NOT_AUTOMATICALLY_VERIFIED,MANUAL_REVIEW_REQUIRED,ABOVE_UNCALIBRATED_THRESHOLD
H007,True,True,True,False,False,0.87763262,False,True,5,False,Central;India,ANY,NOT_AUTOMATICALLY_VERIFIED,MANUAL_REVIEW_REQUIRED,ABOVE_UNCALIBRATED_THRESHOLD
H008,True,True,True,False,False,0.88705075,False,True,5,False,Central;India,ANY,NOT_AUTOMATICALLY_VERIFIED,MANUAL_REVIEW_REQUIRED,ABOVE_UNCALIBRATED_THRESHOLD
H009,False,True,True,False,False,0.86443055,False,True,5,False,Central;India,ANY,NOT_AUTOMATICALLY_VERIFIED,MANUAL_REVIEW_REQUIRED,ABOVE_UNCALIBRATED_THRESHOLD
H010,True,True,True,False,False,0.86655647,False,True,5,False,Central;India,ANY,NOT_AUTOMATICALLY_VERIFIED,MANUAL_REVIEW_REQUIRED,ABOVE_UNCALIBRATED_THRESHOLD
H011,,,,False,False,0.86383152,False,False,5,True,Central;India,ANY,NOT_AUTOMATICALLY_VERIFIED,MANUAL_REVIEW_REQUIRED,ABOVE_UNCALIBRATED_THRESHOLD
H012,True,True,True,False,False,0.88560826,False,True,5,False,Central;India;Karnataka,ANY,NOT_AUTOMATICALLY_VERIFIED,MANUAL_REVIEW_REQUIRED,ABOVE_UNCALIBRATED_THRESHOLD
