chunk_id,source_id,record_type,word_count,page_start,page_end,section,rule,clause,heading,warning,audit_flags,severity,groups,text_excerpt
MSCS_RULES_AMD_2023_CONTEXT_001,MSCS_RULES_AMD_2023,child,14562,1,27,,,,,LONG_CHUNK_NO_SAFE_SPLIT;STRUCTURE_UNCERTAIN,METADATA_REVIEW,REVIEW,A_LONG;E_STRUCTURE;C_TOP20_LONG,"रजिस्ट्री सं. डी.एल.- 33004/99 REGD. No. D. L.-33004/99

सी.जी.-डी.एल.-अ.-04082023-247863

xxxGIDHxxx

CG-DL-E-04082023-247863

xxxGIDExxx

असाधारण EXTRAORDINARY

भाग II—खण् ड 3—उप-खण् ड (i) PART II—S"
KA_ACT_1959_CONTEXT_005,KA_ACT_1959,child,9333,8,33,,,,,LONG_CHUNK_NO_SAFE_SPLIT;SECTION_IDENTIFIER_MISSING;STRUCTURE_UNCERTAIN,METADATA_REVIEW;MISSING_STRUCTURAL_ID,REVIEW,A_LONG;E_STRUCTURE;C_TOP20_LONG,"CHAPTER XIV

OFFENCES AND PENALTIES.

109. Offences.

110. Offences by Companies.

110A. Power to compound offences.

111. Cognizance of offences.

CHAPTER XV

MISCELLANEOUS

111A. Omitted.

111B. Pre"
PMFBY_2023_ANNEXURE_V,PMFBY_2023,parent,8736,186,210,,,,ANNEXURE- V,CONTEXT_PARENT;LONG_CHUNK_NO_SAFE_SPLIT;TABLE_REVIEW,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,A_LONG;F_TABLE;C_TOP20_LONG,"ANNEXURE- V

Illustration of Modalities of Claim Settlement under Multiple Events of similar or

different Perils at same land-parcel & Crop under PMFBY

Scenarios | | | Clarifications/Remarks |
1. Cl"
MSCS_RULES_AMD_2023_ITEM_4,MSCS_RULES_AMD_2023,child,6914,28,36,,,,"In the principal rules, for rule 19, the following rules shall be substituted, namely:",LONG_CHUNK_NO_SAFE_SPLIT,METADATA_REVIEW,REVIEW,A_LONG;C_TOP20_LONG,"4. In the principal rules, for rule 19, the following rules shall be substituted, namely:—

“19. Composition of Selection Committee.— (1) The Chairperson of the Authority, the Vice-Chairperson and eve"
MH_RULES_1961_RULE_107,MH_RULES_1961,child,5770,87,95,,107,,1 [Procedure for attachment and sale of property under Section 156.]:,LONG_CHUNK_NO_SAFE_SPLIT;STRUCTURE_UNCERTAIN,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,A_LONG;E_STRUCTURE;C_TOP20_LONG,"Chapter XII

Miscellaneous

107.1 [Procedure for attachment and sale of property under Section 156.]:-

1[(l) A creditor holding a decree requiring the provisions of Section 156 to be applied, or soci"
MSCS_RULES_2002_FORM_026,MSCS_RULES_2002,child,5025,25,37,,,,the form specified by the Central Registrar with one or more sufficient,LONG_CHUNK_NO_SAFE_SPLIT,METADATA_REVIEW;MISSING_STRUCTURAL_ID,REVIEW,A_LONG;C_TOP20_LONG,"the form specified by the Central Registrar with one or more sufficient sureties for the production of the property as and when called for.

(c) The distress shall be made after sunrise and before sun"
MH_ACT_1960_SEC_17,MH_ACT_1960,child,4941,22,30,17,,,,LEGACY_FONT_ENCODING_REVIEW;LONG_CHUNK_NO_SAFE_SPLIT;STRUCTURE_UNCERTAIN,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,A_LONG;E_STRUCTURE;C_TOP20_LONG,"17.

(1) ºÉÆºlÉäºÉ ÊxÉ¤ÉÆvÉEòÉSªÉÉ {ÉÚ´ÉÇ¨ÉÉxªÉiÉäxÉä, iªÉÉ |ÉªÉÉäVÉxÉÉºÉÉ`öÒ ¦É®úÊ´É±Éä±ªÉÉ Ê´É¶Éä¹É ËEò´ÉÉ ºÉ´ÉÇºÉÉvÉÉ®úhÉ ¤Éè`öEòÒºÉ ½þVÉ®ú +ºÉ±Éä±ªÉÉ

ºÉÆºlÉÉSÉä BEòÊjÉEò®úhÉ

´É ¨ÉiÉ näùhÉÉ-ªÉÉ º"
MSCS_RULES_2002_SCHEDULE_027,MSCS_RULES_2002,child,4087,37,46,,,,SCHEDULE,LONG_CHUNK_NO_SAFE_SPLIT,METADATA_REVIEW,REVIEW,A_LONG;C_TOP20_LONG,"SCHEDULE

1. Procedure for the conduct of election to the board of Multi-State Co-operative Societies

(a) The board of Directors in office shall meet, at least, sixty clear days in advance of the dat"
MH_ACT_1960_SEC_73,MH_ACT_1960,child,3959,52,59,73,,,+++,LEGACY_FONT_ENCODING_REVIEW;LONG_CHUNK_NO_SAFE_SPLIT;STRUCTURE_UNCERTAIN;TABLE_REVIEW,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,A_LONG;E_STRUCTURE;F_TABLE;C_TOP20_LONG,"1[ 73.+++.

(1) ={ÉÊ´ÉvÉÒ¨ÉvªÉä iÉ®úiÉÚnù Eò®úhªÉÉiÉ ªÉä<Ç±É <iÉCªÉÉ ºÉnùºªÉ ºÉÆJªÉäSÉÉ ºÉÊ¨ÉiÉÒiÉ +ÆiÉ¦ÉÉÇ´É +ºÉä±É ;

ºÉÊ¨ÉiÉÒSÉÒ ®úSÉxÉÉ Eò®úhÉä.

{É®ÆúiÉÖ, ºÉÊ¨ÉiÉÒSªÉÉ ºÉnùºªÉÉÆSÉÒ Eò¨ÉÉ±É ºÉÆJªÉ"
MH_ACT_1960_SEC_110,MH_ACT_1960,child,3670,87,94,110,,,"ºÉ¨ÉÉÊ{ÉiÉ Eò®úhªÉÉiÉ +É±Éä±ªÉÉ ºÉÆºlÉäSªÉÉ {ÉÊ®úºÉ¨ÉÉ{ÉEòÉSªÉÉ +ÆÊiÉ¨É +½þ´ÉÉ±ÉÉiÉ nù¶ÉÇÊ´É±Éä±ÉÒ +ÊvÉ¶Éä¹É ¨ÉkÉÉ, ÊxÉ¤ÉÆvÉEòÉºÉ ®úÉVªÉ",LEGACY_FONT_ENCODING_REVIEW;LONG_CHUNK_NO_SAFE_SPLIT;STRUCTURE_UNCERTAIN,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,A_LONG;E_STRUCTURE;C_TOP20_LONG,"110. ºÉ¨ÉÉÊ{ÉiÉ Eò®úhªÉÉiÉ +É±Éä±ªÉÉ ºÉÆºlÉäSªÉÉ {ÉÊ®úºÉ¨ÉÉ{ÉEòÉSªÉÉ +ÆÊiÉ¨É +½þ´ÉÉ±ÉÉiÉ nù¶ÉÇÊ´É±Éä±ÉÒ +ÊvÉ¶Éä¹É ¨ÉkÉÉ, ÊxÉ¤ÉÆvÉEòÉºÉ ®úÉVªÉ

+ÊvÉ¶Éä¹É

¨ÉkÉäSÉÉ

¶ÉÉºÉxÉÉSÉÒ {ÉÚ´ÉÇ¨ÉÆVÉÚ®úÒ PÉä>ðxÉ,"
