question_id,answered,abstained,expected_should_answer,behavior_correct,used_evidence_ids,mapped_chunk_ids,cited_source_ids,citation_validation_pass,unsupported_claim_warning,jurisdiction_violation,forbidden_source_leakage,api_status,retry_count,failure_reason,answer_preview
Q001,True,False,True,True,"[""E1""]","[""KA_ACT_1959_SEC_37_002""]","[""KA_ACT_1959""]",True,[],False,False,PASS,0,,"Karnataka Co-operative Societies Act, 1959"
Q002,True,False,True,True,"[""E3""]","[""KA_ACT_1959_SEC_17""]","[""KA_ACT_1959""]",True,"[""CLAIM_NOT_LOCATED_IN_EVIDENCE:Section\u202f17""]",False,False,PASS,0,,A person is eligible to become a member of a cooperative society in Karnataka if he does not fall under any of the disqualifications listed in Section
Q003,True,False,True,True,"[""E5"", ""E4"", ""E1""]","[""KA_ACT_1959_SEC_8"", ""KA_ACT_1959_SEC_39_SUB_1"", ""KA_ACT_1959_SEC_120""]","[""KA_ACT_1959""]",True,"[""CLAIM_NOT_LOCATED_IN_EVIDENCE:Section\u00a08"", ""CLAIM_NOT_LOCATED_IN_EVIDENCE:Section\u00a039"", ""CLAIM_NOT_LOCATED_IN_EVIDENCE:Section\u00a0120""]",False,False,PASS,0,,"Karnataka’s Co‑operative Societies Act 1959 requires a society to be registered and, once registered, the Registrar issues a Certificate of Registrati"
Q004,False,True,True,False,[],[],[],True,[],False,False,GROQ_HTTP_413,0,GROQ_HTTP_413,
Q005,True,False,True,True,"[""E1""]","[""MH_ACT_1960_SEC_20_A""]","[""MH_ACT_1960""]",True,[],False,False,PASS,0,,Maharashtra Cooperative Societies Act 1960
Q006,True,False,True,True,"[""E1""]","[""MH_ACT_1960_SEC_22_SUB_1""]","[""MH_ACT_1960""]",True,[],False,False,PASS,0,,A person may become a member of a cooperative society in Maharashtra if they are one of the following: (a) an individual competent to contract under t
Q007,True,False,True,True,"[""E1"", ""E2"", ""E4"", ""E5""]","[""MH_RULES_1961_RULE_4"", ""MH_ACT_1960_SEC_7"", ""MH_ACT_1960_SEC_6_SUB_1"", ""MH_ACT_1960_SEC_7_002""]","[""MH_ACT_1960"", ""MH_RULES_1961""]",True,[],False,False,PASS,0,,"Maharashtra cooperative law requires that a society apply for registration in Form ‘A’ in Marathi, Hindi or English, together with four copies of its "
Q008,False,True,True,False,[],[],[],True,[],False,False,GROQ_HTTP_413,0,GROQ_HTTP_413,
Q009,True,False,True,True,"[""E1""]","[""MSCS_ACT_2002_SEC_10_SUB_1""]","[""MSCS_ACT_2002""]",True,[],False,False,PASS,0,,The Multi‑State Cooperative Societies Act 2002 governs a cooperative society operating in more than one state.
Q010,True,False,True,True,"[""E1"", ""E5""]","[""MSCS_AMD_2023_ITEM_1"", ""MSCS_AMD_2023_ITEM_48""]","[""MSCS_AMD_2023""]",True,"[""CLAIM_NOT_LOCATED_IN_EVIDENCE:section\u202f125""]",False,False,PASS,0,,"The 2023 amendment adds a new sub‑section (1A) to section 125 of the principal Act, allowing the Central Government to issue orders (published in the "
Q011,False,True,True,False,[],[],[],True,[],False,False,GROQ_HTTP_413,0,GROQ_HTTP_413,
Q012,True,False,True,True,"[""E1"", ""E4""]","[""CRCS_OMBUDSMAN_SEC_002"", ""MSCS_RULES_AMD_2023_ITEM_14_002""]","[""CRCS_OMBUDSMAN"", ""MSCS_RULES_AMD_2023""]",True,[],False,False,PASS,0,,Form VI
Q013,True,False,True,True,"[""E1"", ""E4"", ""E5""]","[""PACS_MODEL_BYLAWS_CLAUSE_5_SUB_19"", ""PACS_MODEL_BYLAWS_CLAUSE_5_SUB_4"", ""PACS_MODEL_BYLAWS_CLAUSE_5_SUB_13""]","[""PACS_MODEL_BYLAWS""]",True,[],False,False,PASS,0,,"The Model Bye‑Laws for PACS set out the society’s objectives, which include facilitating arrangements or collaborations with local bodies, governments"
Q014,True,False,True,True,"[""E1"", ""E3"", ""E4""]","[""PACS_MODEL_BYLAWS_CLAUSE_5_SUB_13"", ""PACS_MODEL_BYLAWS_CLAUSE_5_SUB_19"", ""PACS_MODEL_BYLAWS_CLAUSE_5_SUB_5""]","[""PACS_MODEL_BYLAWS""]",True,[],False,False,PASS,0,,"PACS may undertake community‑based services in education (schools, colleges), health (hospitals, dispensaries, clinical laboratories, ambulance servic"
Q015,True,False,True,True,"[""E5"", ""E4""]","[""PACS_COMPUTERIZATION_SEC_001"", ""PACS_COMPUTERIZATION_SEC_3_10_1""]","[""PACS_COMPUTERIZATION""]",True,[],False,False,PASS,0,,The PACS computerisation programme aims to computerise Primary Agricultural Credit Societies by implementing a common ERP software across the country 
Q016,True,False,True,True,"[""E1"", ""E3"", ""E4""]","[""PMFBY_2023_SEC_38_2_15"", ""PMFBY_2023_SEC_7_2_1_2"", ""PMFBY_2023_SEC_21_6_10_3""]","[""PMFBY_2023""]",True,[],False,False,PASS,0,,Under PMFBY the state/UT assists insurance companies in assessing crop loss caused by localized perils and post‑harvest losses. Claims are evaluated o
Q017,False,True,False,True,[],[],[],True,[],False,False,NOT_CALLED,0,,
Q018,False,True,False,True,[],[],[],True,[],False,False,NOT_CALLED,0,,
Q019,False,True,True,False,[],[],[],True,[],False,False,PASS,0,,
Q020,False,True,False,True,[],[],[],True,[],False,False,NOT_CALLED,0,,
H001,True,False,True,True,"[""E1""]","[""KA_ACT_1959_SEC_17""]","[""KA_ACT_1959""]",True,"[""CLAIM_NOT_LOCATED_IN_EVIDENCE:Section\u00a017""]",False,False,PASS,0,,"The Karnataka Co-operative Societies Act 1959, particularly Section 17 on disqualification for membership, sets out the eligibility criteria for membe"
H002,True,False,True,True,"[""E1""]","[""KA_ACT_1959_SEC_31A""]","[""KA_ACT_1959""]",True,[],False,False,PASS,0,,Karnataka Co-operative Societies Act 1959
H003,True,False,True,True,"[""E1"", ""E3""]","[""MH_RULES_1961_RULE_19"", ""MH_RULES_1961_RULE_119A""]","[""MH_RULES_1961""]",True,"[""CLAIM_NOT_LOCATED_IN_EVIDENCE:Rule\u202f19"", ""CLAIM_NOT_LOCATED_IN_EVIDENCE:Rule\u202f119A""]",False,False,PASS,0,,Use the Maharashtra Cooperative Societies Rules 1961 – particularly Rule 19 (conditions for admission) and Rule 119A (procedure for tendering applicat
H004,False,True,True,False,[],[],[],True,[],False,False,GROQ_HTTP_413,0,GROQ_HTTP_413,
H005,True,False,True,True,"[""E1"", ""E2"", ""E3""]","[""MSCS_ACT_2002_SEC_11_SUB_2"", ""MSCS_ACT_2002_SEC_10_SUB_1"", ""MSCS_AMD_2023_ITEM_22""]","[""MSCS_ACT_2002"", ""MSCS_AMD_2023""]",True,[],False,False,PASS,0,,The Multi‑State Cooperative Societies Act 2002 (and its amendments) governs a cooperative society that has members in more than one state.
H006,True,False,True,True,"[""E1"", ""E2"", ""E3"", ""E4""]","[""CRCS_OMBUDSMAN_SEC_002"", ""CRCS_OMBUDSMAN_SEC_004"", ""MSCS_RULES_AMD_2023_ITEM_7_002_SUB_30E"", ""CRCS_OMBUDSMAN_SEC_005""]","[""CRCS_OMBUDSMAN"", ""MSCS_RULES_AMD_2023""]",True,"[""CLAIM_NOT_LOCATED_IN_EVIDENCE:Form\u202fVI""]",False,False,PASS,0,,"You can file a complaint with the Cooperative Ombudsman. Submit Form VI (or use the online e‑mail) to the address:
Alok Agarwal, Cooperative Ombudsman"
H007,True,False,True,True,"[""E1"", ""E2"", ""E5"", ""E4""]","[""PMFBY_2023_SEC_38_2_15"", ""PMFBY_2023_SEC_21_6_2"", ""PMFBY_2023_SEC_21_6_1"", ""PMFBY_2023_SEC_884_SUB_2""]","[""PMFBY_2023""]",True,[],False,False,PASS,0,,"Check the PMFBY Operational Guidelines 2023 – specifically sections 21.6.1 and 21.6.2, which cover assessment of post‑harvest losses due to unseasonal"
H008,True,False,True,True,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""PMFBY_2023_SEC_3_10_3"", ""PMFBY_2023_SEC_17_14"", ""PMFBY_2023_SEC_21_6_4_4"", ""PMFBY_2023_SEC_21_5_4_4"", ""PMFBY_2023_SEC_2_9""]","[""PMFBY_2023""]",True,[],False,False,PASS,0,,PMFBY Operational Guidelines 2023
H009,False,True,True,False,[],[],[],True,[],False,False,GROQ_HTTP_413,0,GROQ_HTTP_413,
H010,True,False,True,True,"[""E1"", ""E4"", ""E5""]","[""PACS_COMPUTERIZATION_SEC_2"", ""PACS_COMPUTERIZATION_SEC_5_1_2"", ""PACS_COMPUTERIZATION_SEC_067""]","[""PACS_COMPUTERIZATION""]",True,[],False,False,PASS,0,,Official information on the computerization and digital modernization of PACS can be found in the PACS Computerization Guidelines and on the Ministry 
H011,False,True,False,True,[],[],[],True,[],False,False,NOT_CALLED,0,,
H012,True,False,True,True,"[""E4""]","[""KA_ACT_1959_SEC_16""]","[""KA_ACT_1959""]",True,"[""CLAIM_NOT_LOCATED_IN_EVIDENCE:rule does""]",False,False,PASS,0,,"No, the Maharashtra rule does not apply; the Karnataka Co‑operative Societies Act governs membership matters for a society registered in Karnataka."
