chunk_id,source_id,record_type,word_count,page_start,page_end,section,rule,clause,heading,warning,audit_flags,severity,groups,text_excerpt
MSCS_AMD_2023_ITEM_17,MSCS_AMD_2023,child,1894,7,10,,,,"For section 45 of the principal Act, the following sections shall be substituted,",LONG_CHUNK_NO_SAFE_SPLIT,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,A_LONG,"17. For section 45 of the principal Act, the following sections shall be substituted,

Substitution of new section

namely:––

for section 45.

‘45. (1) The Central Government shall, by notification, "
MSCS_RULES_2002_CONTEXT_022,MSCS_RULES_2002,child,924,19,21,,,,,LONG_CHUNK_NO_SAFE_SPLIT;RULE_IDENTIFIER_MISSING;STRUCTURE_UNCERTAIN,METADATA_REVIEW;MISSING_STRUCTURAL_ID;TOPIC_TAG_REVIEW,REVIEW,A_LONG;E_STRUCTURE,"Chapter 6 Appeals and Review

Appeals 31.

For the purpose of sub-section (2) of section 99, an appeal against any decision or order shall be made, if the decision or order was made by–

(a) the Centr"
MSCS_RULES_2002_RULE_36,MSCS_RULES_2002,child,1171,23,25,,36,,Mode of service of summon,LONG_CHUNK_NO_SAFE_SPLIT;STRUCTURE_UNCERTAIN,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,A_LONG;E_STRUCTURE,"Chapter 9 Miscellaneous

36. Mode of service of summon

(1) Every summon issued under the Act or these rules shall be in writing, shall be authenticated by the sea, if any, of the officer by whom it i"
MSCS_RULES_2002_FORM_026,MSCS_RULES_2002,child,5025,25,37,,,,the form specified by the Central Registrar with one or more sufficient,LONG_CHUNK_NO_SAFE_SPLIT,METADATA_REVIEW;MISSING_STRUCTURAL_ID,REVIEW,A_LONG;C_TOP20_LONG,"the form specified by the Central Registrar with one or more sufficient sureties for the production of the property as and when called for.

(c) The distress shall be made after sunrise and before sun"
MSCS_RULES_2002_SCHEDULE_027,MSCS_RULES_2002,child,4087,37,46,,,,SCHEDULE,LONG_CHUNK_NO_SAFE_SPLIT,METADATA_REVIEW,REVIEW,A_LONG;C_TOP20_LONG,"SCHEDULE

1. Procedure for the conduct of election to the board of Multi-State Co-operative Societies

(a) The board of Directors in office shall meet, at least, sixty clear days in advance of the dat"
MSCS_RULES_AMD_2023_CONTEXT_001,MSCS_RULES_AMD_2023,child,14562,1,27,,,,,LONG_CHUNK_NO_SAFE_SPLIT;STRUCTURE_UNCERTAIN,METADATA_REVIEW,REVIEW,A_LONG;E_STRUCTURE;C_TOP20_LONG,"रजिस्ट्री सं. डी.एल.- 33004/99 REGD. No. D. L.-33004/99

सी.जी.-डी.एल.-अ.-04082023-247863

xxxGIDHxxx

CG-DL-E-04082023-247863

xxxGIDExxx

असाधारण EXTRAORDINARY

भाग II—खण् ड 3—उप-खण् ड (i) PART II—S"
MSCS_RULES_AMD_2023_ITEM_4,MSCS_RULES_AMD_2023,child,6914,28,36,,,,"In the principal rules, for rule 19, the following rules shall be substituted, namely:",LONG_CHUNK_NO_SAFE_SPLIT,METADATA_REVIEW,REVIEW,A_LONG;C_TOP20_LONG,"4. In the principal rules, for rule 19, the following rules shall be substituted, namely:—

“19. Composition of Selection Committee.— (1) The Chairperson of the Authority, the Vice-Chairperson and eve"
MSCS_RULES_AMD_2023_ITEM_7,MSCS_RULES_AMD_2023,child,1331,37,40,,,,"In the principal rules, after Chapter 5, the following Chapter shall be inserted, namely:",LONG_CHUNK_NO_SAFE_SPLIT,FORM_NUMBER_MISSING;METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,A_LONG,"7. In the principal rules, after Chapter 5, the following Chapter shall be inserted, namely:— [भाग II—खण्‍ड 3(i)] भारत‍का‍राजपत्र‍:‍असाधारण

‘CHAPTER 5A

CO-OPERATIVE OMBUDSMAN

30A. Appointment and J"
MSCS_RULES_AMD_2023_ITEM_10,MSCS_RULES_AMD_2023,child,937,40,42,,,,"In the principal rules, after rule 37, the following rules shall be inserted namely:",LONG_CHUNK_NO_SAFE_SPLIT;MALFORMED_NUMBERING_HIERARCHY,METADATA_REVIEW,REVIEW,A_LONG,"10. In the principal rules, after rule 37, the following rules shall be inserted namely:—

“37A. Recruitment of employees in Co-operative Societies.— The recruitment of employees at various levels wou"
KA_ACT_1959_CONTEXT_005,KA_ACT_1959,child,9333,8,33,,,,,LONG_CHUNK_NO_SAFE_SPLIT;SECTION_IDENTIFIER_MISSING;STRUCTURE_UNCERTAIN,METADATA_REVIEW;MISSING_STRUCTURAL_ID,REVIEW,A_LONG;E_STRUCTURE;C_TOP20_LONG,"CHAPTER XIV

OFFENCES AND PENALTIES.

109. Offences.

110. Offences by Companies.

110A. Power to compound offences.

111. Cognizance of offences.

CHAPTER XV

MISCELLANEOUS

111A. Omitted.

111B. Pre"
